name,city,lat,lon,has_antivenom,has_pediatric_icu,has_mri,has_oxygen,has_ventilator,emergency_247,phone
National Hospital Abuja,Abuja,9.0392,7.4920,1,1,1,1,1,1,+234-809-000-0000
Federal Medical Centre Abuja,Abuja,9.0579,7.4891,1,1,1,1,1,1,+234-809-111-1111
University of Abuja Teaching Hospital Gwagwalada,Abuja,8.9390,7.0810,1,1,0,1,1,1,+234-809-222-2222
Asokoro District Hospital,Abuja,9.0305,7.5186,1,0,0,1,1,1,+234-809-223-2233
Wuse District Hospital,Abuja,9.0663,7.4698,0,0,0,1,1,1,+234-809-224-2244
Garki Hospital Abuja,Abuja,9.0276,7.4899,0,0,1,1,1,1,+234-809-333-3333
Nizamiye Hospital Abuja,Abuja,9.0169,7.3989,0,1,1,1,1,1,+234-809-444-4444
Kelina Hospital Abuja,Abuja,9.0880,7.4700,0,0,1,1,1,1,+234-809-555-5555
Euracare Multi-Specialist Hospital Abuja,Abuja,9.0765,7.4560,0,0,1,1,0,1,+234-809-666-6666
Alliance Hospital Abuja,Abuja,9.0570,7.4565,0,0,1,1,1,1,+234-809-777-7777
Cedarcrest Hospital Abuja,Abuja,9.0760,7.4568,0,0,1,1,1,1,+234-809-888-8888
Nisa Premier Hospital Jabi,Abuja,9.0705,7.4235,0,1,0,1,1,1,+234-809-999-9999
Gwarinpa General Hospital,Abuja,9.1200,7.4000,0,0,0,1,1,1,+234-809-101-0101
Maitama District Hospital,Abuja,9.0890,7.4930,0,0,0,1,1,1,+234-809-202-0202
Nyanya General Hospital,Abuja,9.0220,7.6120,1,0,0,1,1,1,+234-809-303-0303
Kubwa General Hospital,Abuja,9.1570,7.3550,1,0,0,1,1,1,+234-809-404-0404
Bwari General Hospital,Abuja,9.2770,7.3840,1,0,0,1,0,1,+234-809-505-0505
National Orthopaedic Hospital Dala Annex (Abuja Clinic),Abuja,9.0600,7.4700,0,0,0,1,0,1,+234-809-606-0606
Federal Staff Hospital Jabi,Abuja,9.0700,7.4300,0,0,0,1,0,1,+234-809-707-0707
Police Hospital Abuja,Abuja,9.0500,7.4800,0,0,0,1,0,1,+234-809-808-8088
Defence Headquarters Hospital Mogadishu Cantonment,Abuja,9.0400,7.4700,1,0,0,1,1,1,+234-809-909-9099
Air Force Base Hospital Abuja,Abuja,9.0100,7.4500,0,0,0,1,0,1,+234-809-111-2222
ECWA Hospital Abuja,Abuja,9.0700,7.4700,0,0,0,1,0,0,+234-809-222-3333
Primecare Hospital Wuse,Abuja,9.0700,7.4705,0,0,0,1,0,0,+234-809-333-4444
Zankli Medical Centre,Abuja,9.0900,7.4700,0,0,0,1,0,0,+234-809-444-5555
Randle Hospital Abuja (Private),Abuja,9.0550,7.4700,0,0,0,1,0,0,+234-809-555-6666
Limi Hospital Central Area,Abuja,9.0440,7.4910,0,0,0,1,0,0,+234-809-666-7777
Limi Children’s Hospital,Abuja,9.0700,7.4700,0,1,0,1,0,0,+234-809-777-8888
St. Mary Catholic Hospital Gwagwalada,Abuja,8.9400,7.0800,0,0,0,1,0,0,+234-809-888-9999
University of Abuja Health Services Clinic,Abuja,8.9850,7.1820,0,0,0,1,0,0,+234-809-121-2121
Abuja Clinics Garki,Abuja,9.0300,7.4900,0,0,0,1,0,0,+234-809-131-3131
Abuja Clinics Maitama,Abuja,9.0850,7.4900,0,0,0,1,0,0,+234-809-141-4141
NHA Clinic Central Area,Abuja,9.0450,7.4900,0,0,0,1,0,0,+234-809-151-5151
Federal Neuro-Psychiatric Hospital Karu (Annex),Abuja,9.0200,7.6000,0,0,0,1,0,1,+234-809-161-6161

Lagoon Hospital Victoria Island,Lagos,6.4310,3.4210,0,0,1,1,1,1,+234-701-000-0000
Lagoon Hospital Ikeja,Lagos,6.6010,3.3430,0,0,1,1,1,1,+234-701-111-1111
Reddington Hospital Victoria Island,Lagos,6.4300,3.4215,0,0,1,1,1,1,+234-701-222-2222
Reddington Hospital Lekki,Lagos,6.4410,3.4830,0,0,1,1,1,1,+234-701-333-3333
